Estado,Nombre del tecnológico,Clave oficial,Modalidad,Grado que otorga,Carrera,URL del tecnológico,URL de la carrera
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IELC-2010-211,Escolarizada,Licenciatura,Ingeniería Electrónica,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-electronica/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IELE-2010-209,Escolarizada,Licenciatura,Ingeniería Eléctrica,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-electrica/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,ICBS-2024-249,Escolarizada,Licenciatura,Ingeniería en Ciberseguridad,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-ciberseguridad/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IDAP-2024-246,Escolarizada,Licenciatura,Ingeniería en Desarrollo de Aplicaciones,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-desarrollo-de-aplicaciones/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-gestion-empresarial/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniería en Gestión Empresarial,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-gestion-empresarial/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IMAT-2010-222,Escolarizada,Licenciatura,Ingeniería en Materiales,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-materiales/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,ISEM-2023-244,Escolarizada,Licenciatura,Ingeniería en Semiconductores,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-semiconductores/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniería en Sistemas Computacionales,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,ITIC-2010-225,Escolarizada,Licenciatura,Ingeniería en Tecnologías de la Información y Comunicaciones,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-en-tecnologia-de-la-informacion-comunicaciones/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IIND-2010-227,Escolarizada,Licenciatura,Ingeniería Industrial,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-industrial/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IIND-2010-227,No Escolarizada,Licenciatura,Ingeniería Industrial,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-industrial/
Aguascalientes,🏫 Instituto Tecnológico de Aguascalientes,IMEC-2010-228,Escolarizada,Licenciatura,Ingeniería Mecánica,https://aguascalientes.tecnm.mx,https://aguascalientes.tecnm.mx/ingenieria-mecanica/
