Estado,Nombre del tecnológico,Clave oficial,Modalidad,Grado que otorga,Carrera,URL del tecnológico,URL de la carrera
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IELC-2010-211,Escolarizada,Licenciatura,Ingeniera Electrnica,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-electronica
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IELE-2010-209,Escolarizada,Licenciatura,Ingeniera Elctrica,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-electrica
Aguascalientes,Instituto Tecnolgico de Aguascalientes,ICBS-2024-249,Escolarizada,Licenciatura,Ingeniera en Ciberseguridad,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-ciberseguridad
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IDAP-2024-246,Escolarizada,Licenciatura,Ingeniera en Desarrollo de Aplicaciones,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-desarrollo-de-aplicaciones
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-gestion-empresarial
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-gestion-empresarial
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IMAT-2010-222,Escolarizada,Licenciatura,Ingeniera en Materiales,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-materiales
Aguascalientes,Instituto Tecnolgico de Aguascalientes,ISEM-2023-244,Escolarizada,Licenciatura,Ingeniera en Semiconductores,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-semiconductores
Aguascalientes,Instituto Tecnolgico de Aguascalientes,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniera en Sistemas Computacionales,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mx
Aguascalientes,Instituto Tecnolgico de Aguascalientes,ITIC-2010-225,Escolarizada,Licenciatura,Ingeniera en Tecnologas de la Informacin y Comunicaciones,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-tecnologia-de-la-informacion-comunicaciones
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IIND-2010-227,Escolarizada,Licenciatura,Ingeniera Industrial,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-industrial
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IIND-2010-227,No Escolarizada,Licenciatura,Ingeniera Industrial,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-industrial
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IMEC-2010-228,Escolarizada,Licenciatura,Ingeniera Mecnica,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-mecanica
Aguascalientes,Instituto Tecnolgico de Aguascalientes,IQUI-2010-232,Escolarizada,Licenciatura,Ingeniera Qumica,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxingenieria-en-quimica
Aguascalientes,Instituto Tecnolgico de Aguascalientes,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administracin,https:aguascalientes.tecnm.mx,https:aguascalientes.tecnm.mxlicenciatura-en-administracion
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,IGEM-2009-201,Mixta,Licenciatura,Ingeniera en Gestin Empresarial,https:pabellon.tecnm.mx,https:pabellon.tecnm.mx
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,https:pabellon.tecnm.mx,https:pabellon.tecnm.mxgestion.php
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,ILOG-2009-202,Escolarizada,Licenciatura,Ingeniera en Logstica,https:pabellon.tecnm.mx,https:pabellon.tecnm.mxlogistica.php
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,ITIC-2010-225,Escolarizada,Licenciatura,Ingeniera en Tecnologas de la Informacin y Comunicaciones,https:pabellon.tecnm.mx,https:pabellon.tecnm.mxitic.php
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,IIND-2010-227,Mixta,Licenciatura,Ingeniera Industrial,https:pabellon.tecnm.mx,https:pabellon.tecnm.mx
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,IIND-2010-227,Escolarizada,Licenciatura,Ingeniera Industrial,https:pabellon.tecnm.mx,https:pabellon.tecnm.mxindustrial.php
Aguascalientes,Instituto Tecnolgico de Pabelln de Arteaga,IMCT-2010-229,Escolarizada,Licenciatura,Ingeniera Mecatrnica,https:pabellon.tecnm.mx,https:pabellon.tecnm.mxmecatronica.php
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,IAGR-2010-214,Escolarizada,Licenciatura,Ingeniera en Agronoma,https:llano.tecnm.mx,https:llano.tecnm.mxpage_id614
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,IBTA-2014-243,Escolarizada,Licenciatura,Ingeniera en Biotecnologa,https:llano.tecnm.mx,https:llano.tecnm.mxpage_id689
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,https:llano.tecnm.mx,https:llano.tecnm.mxpage_id688
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,https:llano.tecnm.mx,https:llano.tecnm.mx
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniera en Sistemas Computacionales,https:llano.tecnm.mx,https:llano.tecnm.mx
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,ITIC-2010-225,Escolarizada,Licenciatura,Ingeniera en Tecnologas de la Informacin y Comunicaciones,https:llano.tecnm.mx,https:llano.tecnm.mxpage_id686
Aguascalientes,Instituto Tecnolgico El Llano Aguascalientes,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administracin,https:llano.tecnm.mx,https:llano.tecnm.mxpage_id691
Baja California,Instituto Tecnolgico de Ensenada,IEME-2010-210,Escolarizada,Licenciatura,Ingeniera Electromecnica,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-electromecanica
Baja California,Instituto Tecnolgico de Ensenada,IELC-2010-211,Escolarizada,Licenciatura,Ingeniera Electrnica,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-electronica
Baja California,Instituto Tecnolgico de Ensenada,IGEM-2009-201,Mixta,Licenciatura,Ingeniera en Gestin Empresarial,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-gestion-empresarial
Baja California,Instituto Tecnolgico de Ensenada,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-gestion-empresarial
Baja California,Instituto Tecnolgico de Ensenada,IIAS-2010-221,Escolarizada,Licenciatura,Ingeniera en Innovacin Agrcola Sustentable,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxingenieria-en-innovacion-agricola-sustentable
Baja California,Instituto Tecnolgico de Ensenada,ISIC-2010-224,Escolarizada,Licenciatura,Ingeniera en Sistemas Computacionales,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-sistemas-computacionales
Baja California,Instituto Tecnolgico de Ensenada,ISIC-2010-224,No Escolarizada,Licenciatura,Ingeniera en Sistemas Computacionales,https:www.ensenada.tecnm.mx,https:ensenada.tecnm.mx
Baja California,Instituto Tecnolgico de Ensenada,IIND-2010-227,Escolarizada,Licenciatura,Ingeniera Industrial,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-industrial
Baja California,Instituto Tecnolgico de Ensenada,IIND-2010-227,Mixta,Licenciatura,Ingeniera Industrial,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-industrial
Baja California,Instituto Tecnolgico de Ensenada,IIND-2010-227,No Escolarizada,Licenciatura,Ingeniera Industrial,https:www.ensenada.tecnm.mx,https:ensenada.tecnm.mx
Baja California,Instituto Tecnolgico de Ensenada,IMCT-2010-229,Escolarizada,Licenciatura,Ingeniera Mecatrnica,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxing-mecatronica
Baja California,Instituto Tecnolgico de Ensenada,LADM-2010-234,Escolarizada,Licenciatura,Licenciatura en Administracin,https:www.ensenada.tecnm.mx,https:www.ensenada.tecnm.mxlic-en-administracion
Baja California,Instituto Tecnolgico de Mexicali,COPU-2010-205,Escolarizada,Licenciatura,Contador Pblico,http:www.itmexicali.edu.mx,http:www.itmexicali.edu.mxcarrerascpcontador.html
Baja California,Instituto Tecnolgico de Mexicali,IBQA-2010-207,Escolarizada,Licenciatura,Ingeniera Bioqumica,http:www.itmexicali.edu.mx,http:www.itmexicali.edu.mxcarrerasimgBIOQUIMICA.jpeg
Baja California,Instituto Tecnolgico de Mexicali,IELC-2010-211,Escolarizada,Licenciatura,Ingeniera Electrnica,http:www.itmexicali.edu.mx,http:www.itmexicali.edu.mxcarrerasimgELECTRONICA.jpg
Baja California,Instituto Tecnolgico de Mexicali,IELE-2010-209,Escolarizada,Licenciatura,Ingeniera Elctrica,http:www.itmexicali.edu.mx,http:www.itmexicali.edu.mxcarreraselectricaelectrica.html
Baja California,Instituto Tecnolgico de Mexicali,IADM-2010-213,Mixta,Licenciatura,Ingeniera en Administracin,http:www.itmexicali.edu.mx,http:www.itmexicali.edu.mxcarrerasimgADMINISTRACION.jpeg
Baja California,Instituto Tecnolgico de Mexicali,IDAP-2024-246,Escolarizada,Licenciatura,Ingeniera en Desarrollo de Aplicaciones,http:www.itmexicali.edu.mx,https:sites.google.comitmexicali.edu.mxdsccarrerasing-desarrollo-de-aplicacionesauthuser0
Baja California,Instituto Tecnolgico de Mexicali,IENR-2010-217,Escolarizada,Licenciatura,Ingeniera en Energas Renovables,http:www.itmexicali.edu.mx,http:www.itmexicali.edu.mxcarrerasimgRENOVABLES.jpg
Baja California,Instituto Tecnolgico de Mexicali,IGEM-2009-201,No Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,http:www.itmexicali.edu.mx,https:sites.google.comitmexicali.edu.mxingenieria-gestion-empresarialiniciopli1
Baja California,Instituto Tecnolgico de Mexicali,IGEM-2009-201,Escolarizada,Licenciatura,Ingeniera en Gestin Empresarial,http:www.itmexicali.edu.mx,https:sites.google.comitmexicali.edu.mxingenieria-gestion-empresarialinicio
Baja California,Instituto Tecnolgico de Mexicali,ILOG-2009-202,Escolarizada,Licenciatura,Ingeniera en Logstica,http:www.itmexicali.edu.mx,https:sites.google.comitmexicali.edu.mxingeniera-logisticainicio
